week,home,away,winner
10,PIT,DET,1
13,DET,MIN,2
17,SEA,DET,1
18,DET,GB,1
1,NO,GB,2
3,SF,GB,1
4,GB,PIT,1
7,GB,WSH,1
9,KC,GB,1
10,GB,SEA,2
11,MIN,GB,1
12,GB,LAR,2
17,GB,MIN,1
1,HOU,JAX,2
5,HOU,NE,2
6,IND,HOU,1
8,HOU,LAR,2
9,MIA,HOU,1
11,TEN,HOU,1
12,HOU,NYJ,2
13,HOU,IND,2
14,HOU,SEA,2
15,JAX,HOU,2
16,HOU,LAC,2
17,SF,HOU,1
18,HOU,TEN,2
1,IND,SEA,1
2,IND,LAR,2
3,TEN,IND,1
4,MIA,IND,1
7,SF,IND,1
8,IND,TEN,1
9,IND,NYJ,1
10,IND,JAX,1
12,IND,TB,2
15,IND,NE,2
17,IND,LV,1
18,JAX,IND,1
5,JAX,TEN,1
6,JAX,MIA,2
8,SEA,JAX,1
11,JAX,SF,2
13,LAR,JAX,1
14,TEN,JAX,1
16,NYJ,JAX,2
17,NE,JAX,2
3,KC,LAC,2
4,PHI,KC,2
6,WSH,KC,2
7,TEN,KC,2
8,KC,NYG,1
10,LV,KC,1
14,KC,LV,1
15,LAC,KC,2
16,KC,PIT,1
4,LAC,LV,1
18,LV,LAC,2
1,WSH,LAC,2
8,LAC,NE,2
9,PHI,LAC,2
10,LAC,MIN,2
11,LAC,PIT,1
14,LAC,NYG,1
3,LAR,TB,1
5,SEA,LAR,1
6,NYG,LAR,2
9,LAR,TEN,2
10,SF,LAR,1
15,LAR,SEA,1
16,MIN,LAR,2
18,LAR,SF,1
2,PIT,LV,2
3,LV,MIA,2
7,LV,PHI,2
9,NYG,LV,1
13,LV,WSH,2
1,NE,MIA,2
5,TB,MIA,1
11,NYJ,MIA,1
13,MIA,NYG,2
15,MIA,NYJ,1
16,NO,MIA,2
17,TEN,MIA,2
18,MIA,NE,2
3,MIN,SEA,2
12,SF,MIN,1
14,MIN,PIT,2
2,NYJ,NE,2
3,NE,NO,2
4,NE,TB,2
7,NE,NYJ,2
12,NE,TEN,2
4,NO,NYG,2
5,WSH,NO,2
7,SEA,NO,1
8,NO,TB,2
10,TEN,NO,1
11,PHI,NO,2
14,NYJ,NO,2
15,TB,NO,1
2,WSH,NYG,1
11,TB,NYG,1
12,NYG,PHI,2
16,PHI,NYG,2
18,NYG,WSH,1
4,NYJ,TEN,2
13,NYJ,PHI,2
17,NYJ,TB,2
2,PHI,SF,2
6,PHI,TB,2
15,PHI,WSH,1
17,WSH,PHI,1
6,PIT,SEA,2
15,PIT,TEN,2
4,SF,SEA,1
13,SEA,SF,1
2,SEA,TEN,2
12,WSH,SEA,1
16,TEN,SF,2
10,WSH,TB,2
