week,team,total_score,total_score_proj,team_away,team_away_proj,team_away_score,result,result_proj,result_int
11,Hubner,125.06,122.97,StumpfistTrumpf,119.14,158.5,FALSE,TRUE,0
11,MarkusEXperte,109.98,130.44,Hammichan,138.11,111.5,FALSE,FALSE,0
11,MKx,66.08,110.82,Wolverine88,129.62,108.62,FALSE,FALSE,0
11,Hammichan,111.5,138.11,MarkusEXperte,130.44,109.98,TRUE,TRUE,1
11,Blitzkoerper85,96.04,124.3,TheRealBauer,128.17,116.98,FALSE,FALSE,0
11,Wolverine88,108.62,129.62,MKx,110.82,66.08,TRUE,TRUE,1
11,StumpfistTrumpf,158.5,119.14,Hubner,122.97,125.06,TRUE,FALSE,1
11,Speasy,161.08,122.71,AllTimeReadyPat,133.48,129.66,TRUE,FALSE,1
11,AllTimeReadyPat,129.66,133.48,Speasy,122.71,161.08,FALSE,TRUE,0
12,TheRealBauer,92.86,121.63,Hammichan,130.9,85.72,TRUE,FALSE,1
12,Hubner,113.96,124.35,AllTimeReadyPat,135.65,158.5,FALSE,FALSE,0
12,MarkusEXperte,110.18,118.05,Blitzkoerper85,123.4,155.5,FALSE,FALSE,0
12,MKx,109.74,113.1,Speasy,127.18,124.32,FALSE,FALSE,0
12,Hammichan,85.72,130.9,TheRealBauer,121.63,92.86,FALSE,TRUE,0
12,Blitzkoerper85,155.5,123.4,MarkusEXperte,118.05,110.18,TRUE,TRUE,1
12,Wolverine88,100.3,132.94,StumpfistTrumpf,134.59,116.88,FALSE,FALSE,0
12,StumpfistTrumpf,116.88,134.59,Wolverine88,132.94,100.3,TRUE,TRUE,1
12,Speasy,124.32,127.18,MKx,113.1,109.74,TRUE,TRUE,1
12,AllTimeReadyPat,158.5,135.65,Hubner,124.35,113.96,TRUE,TRUE,1
13,TheRealBauer,169.82,127.85,Hubner,125.94,156.42,TRUE,TRUE,1
13,Hubner,156.42,125.94,TheRealBauer,127.85,169.82,FALSE,FALSE,0
13,MarkusEXperte,103.74,121.33,MKx,111.96,86.32,TRUE,TRUE,1
13,MKx,86.32,111.96,MarkusEXperte,121.33,103.74,FALSE,FALSE,0
13,Hammichan,165.16,132.14,Blitzkoerper85,118.5,66.52,TRUE,TRUE,1
13,Blitzkoerper85,66.52,118.5,Hammichan,132.14,165.16,FALSE,FALSE,0
13,Wolverine88,115.26,119.33,Speasy,127.89,92.28,TRUE,FALSE,1
13,StumpfistTrumpf,132.56,119.13,AllTimeReadyPat,131.97,108.8,TRUE,FALSE,1
13,Speasy,92.28,127.89,Wolverine88,119.33,115.26,FALSE,TRUE,0
13,AllTimeReadyPat,108.8,131.97,StumpfistTrumpf,119.13,132.56,FALSE,TRUE,0
14,TheRealBauer,120.92,130.49,AllTimeReadyPat,123.17,122.42,FALSE,TRUE,0
14,Hubner,113.58,138.51,StumpfistTrumpf,112.07,117.34,FALSE,TRUE,0
14,MarkusEXperte,136.4,116.93,Speasy,129.74,127.1,TRUE,FALSE,1
14,MKx,130.72,120.82,Blitzkoerper85,110.51,61.54,TRUE,TRUE,1
14,Hammichan,179.82,130.02,Wolverine88,132.13,150.62,TRUE,FALSE,1
14,Blitzkoerper85,61.54,110.51,MKx,120.82,130.72,FALSE,FALSE,0
14,Wolverine88,150.62,132.13,Hammichan,130.02,179.82,FALSE,TRUE,0
14,StumpfistTrumpf,117.34,112.07,Hubner,138.51,113.58,TRUE,FALSE,1
14,Speasy,127.1,129.74,MarkusEXperte,116.93,136.4,FALSE,TRUE,0
14,AllTimeReadyPat,122.42,123.17,TheRealBauer,130.49,120.92,TRUE,FALSE,1
