pos,player,opp,status,stats,points,year,week,team,total_score,team_away,team_away_score
BN,D. Johnson,,BYE,,0.00,2020,8,seb44,112.32,MarkusEXperte,207.74
BN,R. Mostert,@ SEA,W 27-37,,0.00,2020,8,seb44,112.32,MarkusEXperte,207.74
BN,H. Renfrow,@ CLE,L 16-6,,10.60,2020,8,seb44,112.32,MarkusEXperte,207.74
BN,L. Thomas,,BYE,,0.00,2020,8,seb44,112.32,MarkusEXperte,207.74
QB,A. Rodgers,vs MIN,L 22-28,,21.54,2020,8,StumpfistTrumpf,103.64,Blitzkoerper85,95.86
RB,M. Gordon,vs LAC,W 31-30,,7.70,2020,8,StumpfistTrumpf,103.64,Blitzkoerper85,95.86
RB,B. Scott,vs DAL,W 23-9,,7.90,2020,8,StumpfistTrumpf,103.64,Blitzkoerper85,95.86
WR,M. Brown,vs PIT,L 24-28,,6.80,2020,8,StumpfistTrumpf,103.64,Blitzkoerper85,95.86
WR,D. Adams,vs MIN,L 22-28,,26.80,2020,8,StumpfistTrumpf,103.64,Blitzkoerper85,95.86
TE,D. Waller,@ CLE,L 16-6,,5.20,2020,8,StumpfistTrumpf,103.64,Blitzkoerper85,95.86
FLX,L. Fournette,@ NYG,L 25-23,,8.60,2020,8,StumpfistTrumpf,103.64,Blitzkoerper85,95.86
FLX,J. Taylor,@ DET,L 41-21,,4.10,2020,8,StumpfistTrumpf,103.64,Blitzkoerper85,95.86
K,J. Tucker,vs PIT,L 24-28,,8.00,2020,8,StumpfistTrumpf,103.64,Blitzkoerper85,95.86
DEF,T. Buccaneers,@ NYG,L 25-23,,7.00,2020,8,StumpfistTrumpf,103.64,Blitzkoerper85,95.86
BN,J. Mixon,vs TEN,W 31-20,,0.00,2020,8,StumpfistTrumpf,103.64,Blitzkoerper85,95.86
BN,P. Lindsay,,BYE,,15.10,2020,8,StumpfistTrumpf,103.64,Blitzkoerper85,95.86
BN,C. Beasley,vs NE,W 24-21,,3.40,2020,8,StumpfistTrumpf,103.64,Blitzkoerper85,95.86
BN,C. Kirk,,BYE,,0.00,2020,8,StumpfistTrumpf,103.64,Blitzkoerper85,95.86
BN,A. Brown,@ NYG,L 25-23,,0.00,2020,8,StumpfistTrumpf,103.64,Blitzkoerper85,95.86
BN,T. McLaurin,,BYE,,0.00,2020,8,StumpfistTrumpf,103.64,Blitzkoerper85,95.86
QB,J. Herbert,@ DEN,W 30-31,,21.22,2020,8,Speasy,126.12,TheRealBauer,134.76
RB,M. Davis,@ CAR,L 25-17,,8.20,2020,8,Speasy,126.12,TheRealBauer,134.76
RB,J. Conner,,BYE,,13.50,2020,8,Speasy,126.12,TheRealBauer,134.76
WR,K. Allen,@ DEN,W 30-31,,17.20,2020,8,Speasy,126.12,TheRealBauer,134.76
WR,A. Robinson,vs NO,L 23-26,,17.70,2020,8,Speasy,126.12,TheRealBauer,134.76
TE,T. Kelce,vs NYJ,W 35-9,,20.90,2020,8,Speasy,126.12,TheRealBauer,134.76
FLX,J. Landry,vs LV,L 6-16,,7.20,2020,8,Speasy,126.12,TheRealBauer,134.76
FLX,J. Smith-Schuster,@ BAL,L 28-24,,10.20,2020,8,Speasy,126.12,TheRealBauer,134.76
K,K. Forbath,,BYE,,4.00,2020,8,Speasy,126.12,TheRealBauer,134.76
DEF,B. Ravens,vs PIT,L 24-28,,6.00,2020,8,Speasy,126.12,TheRealBauer,134.76
BN,M. Ryan,@ CAR,L 25-17,,17.94,2020,8,Speasy,126.12,TheRealBauer,134.76
BN,C. McCaffrey,vs ATL,L 17-25,,0.00,2020,8,Speasy,126.12,TheRealBauer,134.76
BN,D. Singletary,vs NE,W 24-21,,9.70,2020,8,Speasy,126.12,TheRealBauer,134.76
BN,D. Slayton,vs TB,L 23-25,,8.10,2020,8,Speasy,126.12,TheRealBauer,134.76
BN,N. Fant,vs LAC,W 31-30,,8.20,2020,8,Speasy,126.12,TheRealBauer,134.76
BN,L. Chargers,@ DEN,W 30-31,,3.00,2020,8,Speasy,126.12,TheRealBauer,134.76
QB,T. Brady,@ NYG,L 25-23,,19.06,2020,8,AllTimeReadyPat,96.36,Hammichan,85.44
RB,T. Gurley,,BYE,,10.60,2020,8,AllTimeReadyPat,96.36,Hammichan,85.44
RB,W. Gallman,@ SEA,W 27-37,,12.70,2020,8,AllTimeReadyPat,96.36,Hammichan,85.44
WR,C. Ridley,@ CAR,L 25-17,,5.70,2020,8,AllTimeReadyPat,96.36,Hammichan,85.44
WR,D. Johnson,@ BAL,L 28-24,,1.10,2020,8,AllTimeReadyPat,96.36,Hammichan,85.44
TE,R. Gronkowski,@ NYG,L 25-23,,12.10,2020,8,AllTimeReadyPat,96.36,Hammichan,85.44
FLX,S. Miller,@ NYG,L 25-23,,5.70,2020,8,AllTimeReadyPat,96.36,Hammichan,85.44
FLX,T. Higgins,vs TEN,W 31-20,,11.40,2020,8,AllTimeReadyPat,96.36,Hammichan,85.44
K,R. Succop,@ NYG,L 25-23,,15.00,2020,8,AllTimeReadyPat,96.36,Hammichan,85.44
DEF,N. Patriots,@ BUF,W 21-24,,3.00,2020,8,AllTimeReadyPat,96.36,Hammichan,85.44
BN,C. Wentz,@ DET,L 41-21,,6.62,2020,8,AllTimeReadyPat,96.36,Hammichan,85.44
BN,J. White,@ BUF,W 21-24,,4.50,2020,8,AllTimeReadyPat,96.36,Hammichan,85.44
BN,A. Jones,vs MIN,L 22-28,,0.00,2020,8,AllTimeReadyPat,96.36,Hammichan,85.44
BN,B. Cooks,,BYE,,0.00,2020,8,AllTimeReadyPat,96.36,Hammichan,85.44
BN,D. Bryant,,BYE,,0.00,2020,8,AllTimeReadyPat,96.36,Hammichan,85.44
BN,G. Ward,vs DAL,W 23-9,,2.70,2020,8,AllTimeReadyPat,96.36,Hammichan,85.44
QB,K. Murray,vs MIA,L 31-34,,36.92,2020,9,TheRealBauer,131.82,AllTimeReadyPat,76.46
RB,C. Edwards-Helaire,vs CAR,W 33-31,,10.90,2020,9,TheRealBauer,131.82,AllTimeReadyPat,76.46
RB,A. Gibson,vs NYG,L 20-23,,10.00,2020,9,TheRealBauer,131.82,AllTimeReadyPat,76.46
WR,C. Davis,vs NE,L 27-30,,0.00,2020,9,TheRealBauer,131.82,AllTimeReadyPat,76.46
WR,D. Chark,vs HOU,L 25-27,,24.10,2020,9,TheRealBauer,131.82,AllTimeReadyPat,76.46
TE,E. Engram,@ WAS,L 23-20,,13.30,2020,9,TheRealBauer,131.82,AllTimeReadyPat,76.46
FLX,C. Edmonds,vs MIA,L 31-34,,10.30,2020,9,TheRealBauer,131.82,AllTimeReadyPat,76.46
FLX,C. Claypool,@ DAL,L 24-19,,11.30,2020,9,TheRealBauer,131.82,AllTimeReadyPat,76.46
K,H. Butker,vs CAR,W 33-31,,10.00,2020,9,TheRealBauer,131.82,AllTimeReadyPat,76.46
DEF,H. Texans,@ JAX,L 27-25,,5.00,2020,9,TheRealBauer,131.82,AllTimeReadyPat,76.46
BN,K. Hunt,,BYE,,0.00,2020,9,TheRealBauer,131.82,AllTimeReadyPat,76.46
BN,A. Ekeler,vs LV,L 26-31,,0.00,2020,9,TheRealBauer,131.82,AllTimeReadyPat,76.46
BN,R. Woods,,BYE,,0.00,2020,9,TheRealBauer,131.82,AllTimeReadyPat,76.46
BN,J. Crowder,vs NE,L 27-30,,9.60,2020,9,TheRealBauer,131.82,AllTimeReadyPat,76.46
BN,J. Reagor,,BYE,,0.00,2020,9,TheRealBauer,131.82,AllTimeReadyPat,76.46
BN,A. Hooper,,BYE,,0.00,2020,9,TheRealBauer,131.82,AllTimeReadyPat,76.46
QB,L. Jackson,@ IND,L 24-10,,18.60,2020,9,Hubner,95.90,Hammichan,92.24
RB,A. Kamara,@ TB,L 38-3,,13.40,2020,9,Hubner,95.90,Hammichan,92.24
RB,J. Robinson,vs HOU,L 25-27,,15.90,2020,9,Hubner,95.90,Hammichan,92.24
WR,J. Jefferson,vs DET,W 34-20,,7.90,2020,9,Hubner,95.90,Hammichan,92.24
WR,D. Moore,@ KC,W 31-33,,2.80,2020,9,Hubner,95.90,Hammichan,92.24
TE,M. Gesicki,@ ARI,L 34-31,,5.70,2020,9,Hubner,95.90,Hammichan,92.24
FLX,R. Jones,vs NO,L 3-38,,3.30,2020,9,Hubner,95.90,Hammichan,92.24
FLX,J. McKinnon,vs CAR,W 33-31,,14.30,2020,9,Hubner,95.90,Hammichan,92.24
K,C. Boswell,@ DAL,L 24-19,,7.00,2020,9,Hubner,95.90,Hammichan,92.24
DEF,G. Packers,@ SF,L 34-17,,7.00,2020,9,Hubner,95.90,Hammichan,92.24
BN,L. Murray,@ TB,L 38-3,,5.20,2020,9,Hubner,95.90,Hammichan,92.24
BN,K. Drake,@ LAC,L 31-26,,0.00,2020,9,Hubner,95.90,Hammichan,92.24
BN,D. Henderson,,BYE,,0.00,2020,9,Hubner,95.90,Hammichan,92.24
BN,T. Boyd,,BYE,,0.00,2020,9,Hubner,95.90,Hammichan,92.24
BN,C. Kupp,,BYE,,0.00,2020,9,Hubner,95.90,Hammichan,92.24
BN,R. Gage,vs DEN,W 34-27,,2.10,2020,9,Hubner,95.90,Hammichan,92.24
QB,P. Mahomes,vs CAR,W 33-31,,31.48,2020,9,MarkusEXperte,167.48,Speasy,173.14
RB,D. Cook,vs DET,W 34-20,,38.20,2020,9,MarkusEXperte,167.48,Speasy,173.14
RB,D. Montgomery,@ TEN,W 17-24,,2.70,2020,9,MarkusEXperte,167.48,Speasy,173.14
WR,T. Hill,vs CAR,W 33-31,,28.60,2020,9,MarkusEXperte,167.48,Speasy,173.14
WR,D. Metcalf,@ BUF,W 34-44,,20.30,2020,9,MarkusEXperte,167.48,Speasy,173.14
TE,T. Hockenson,@ MIN,W 20-34,,12.40,2020,9,MarkusEXperte,167.48,Speasy,173.14
FLX,W. Fuller,@ ARI,L 34-31,,18.50,2020,9,MarkusEXperte,167.48,Speasy,173.14
FLX,J. Hasty,vs GB,L 17-34,,2.30,2020,9,MarkusEXperte,167.48,Speasy,173.14
K,D. Carlson,@ LAC,L 31-26,,7.00,2020,9,MarkusEXperte,167.48,Speasy,173.14
DEF,W. Football Team,vs NYG,L 20-23,,6.00,2020,9,MarkusEXperte,167.48,Speasy,173.14
BN,D. Swift,@ MIN,W 20-34,,10.20,2020,9,MarkusEXperte,167.48,Speasy,173.14
BN,T. Patrick,@ ATL,W 27-34,,10.90,2020,9,MarkusEXperte,167.48,Speasy,173.14
BN,D. Samuel,vs GB,L 17-34,,0.00,2020,9,MarkusEXperte,167.48,Speasy,173.14
BN,T. Fulgham,,BYE,,0.00,2020,9,MarkusEXperte,167.48,Speasy,173.14
BN,R. Tonyan,@ SF,L 34-17,,1.00,2020,9,MarkusEXperte,167.48,Speasy,173.14
BN,P. Eagles,,BYE,,0.00,2020,9,MarkusEXperte,167.48,Speasy,173.14
QB,R. Wilson,@ BUF,W 34-44,,20.10,2020,9,MKx,93.10,StumpfistTrumpf,116.90
RB,J. Dobbins,@ IND,L 24-10,,4.50,2020,9,MKx,93.10,StumpfistTrumpf,116.90
RB,D. Dallas,@ BUF,W 34-44,,10.90,2020,9,MKx,93.10,StumpfistTrumpf,116.90
WR,D. Hopkins,vs MIA,L 31-34,,4.50,2020,9,MKx,93.10,StumpfistTrumpf,116.90
WR,C. Lamb,vs PIT,L 19-24,,12.10,2020,9,MKx,93.10,StumpfistTrumpf,116.90
TE,J. Graham,@ TEN,W 17-24,,14.50,2020,9,MKx,93.10,StumpfistTrumpf,116.90
FLX,E. Elliott,vs PIT,L 19-24,,7.90,2020,9,MKx,93.10,StumpfistTrumpf,116.90
FLX,M. Williams,vs LV,L 26-31,,10.60,2020,9,MKx,93.10,StumpfistTrumpf,116.90
K,W. Lutz,@ TB,L 38-3,,8.00,2020,9,MKx,93.10,StumpfistTrumpf,116.90
DEF,S. Seahawks,@ BUF,W 34-44,,0.00,2020,9,MKx,93.10,StumpfistTrumpf,116.90
BN,C. Newton,@ NYJ,L 30-27,,24.56,2020,9,MKx,93.10,StumpfistTrumpf,116.90
BN,C. Carson,@ BUF,W 34-44,,0.00,2020,9,MKx,93.10,StumpfistTrumpf,116.90
BN,M. Evans,vs NO,L 3-38,,8.40,2020,9,MKx,93.10,StumpfistTrumpf,116.90
BN,T. Smith,@ TB,L 38-3,,7.90,2020,9,MKx,93.10,StumpfistTrumpf,116.90
BN,A. Lazard,@ SF,L 34-17,,0.00,2020,9,MKx,93.10,StumpfistTrumpf,116.90
BN,D. Schultz,vs PIT,L 19-24,,6.80,2020,9,MKx,93.10,StumpfistTrumpf,116.90
QB,D. Watson,@ JAX,L 27-25,,23.24,2020,9,Hammichan,92.24,Hubner,95.90
RB,J. McKissic,vs NYG,L 20-23,,12.70,2020,9,Hammichan,92.24,Hubner,95.90
RB,J. Jackson,vs LV,L 26-31,,0.00,2020,9,Hammichan,92.24,Hubner,95.90
WR,R. Anderson,@ KC,W 31-33,,10.80,2020,9,Hammichan,92.24,Hubner,95.90
WR,A. Thielen,vs DET,W 34-20,,4.80,2020,9,Hammichan,92.24,Hubner,95.90
TE,E. Ebron,@ DAL,L 24-19,,9.70,2020,9,Hammichan,92.24,Hubner,95.90
FLX,M. Thomas,@ TB,L 38-3,,7.60,2020,9,Hammichan,92.24,Hubner,95.90
FLX,T. Taylor,,BYE,,1.40,2020,9,Hammichan,92.24,Hubner,95.90
K,J. Sanders,@ ARI,L 34-31,,14.00,2020,9,Hammichan,92.24,Hubner,95.90
DEF,P. Steelers,@ DAL,L 24-19,,8.00,2020,9,Hammichan,92.24,Hubner,95.90
BN,L. Bell,,BYE,,0.80,2020,9,Hammichan,92.24,Hubner,95.90
BN,T. Ervin,,BYE,,9.20,2020,9,Hammichan,92.24,Hubner,95.90
BN,A. Collins,@ BUF,W 34-44,,0.50,2020,9,Hammichan,92.24,Hubner,95.90
BN,J. Williams,@ MIN,W 20-34,,0.00,2020,9,Hammichan,92.24,Hubner,95.90
BN,N. Chubb,,BYE,,0.00,2020,9,Hammichan,92.24,Hubner,95.90
BN,J. Wilkins,vs BAL,L 10-24,,4.80,2020,9,Hammichan,92.24,Hubner,95.90
QB,J. Allen,vs SEA,W 44-34,,36.00,2020,9,Blitzkoerper85,119.10,seb44,116.78
RB,Z. Moss,vs SEA,W 44-34,,11.80,2020,9,Blitzkoerper85,119.10,seb44,116.78
RB,J. Jacobs,@ LAC,L 31-26,,13.30,2020,9,Blitzkoerper85,119.10,seb44,116.78
WR,S. Diggs,vs SEA,W 44-34,,16.30,2020,9,Blitzkoerper85,119.10,seb44,116.78
WR,T. Lockett,@ BUF,W 34-44,,6.00,2020,9,Blitzkoerper85,119.10,seb44,116.78
TE,H. Henry,@ NYJ,L 30-27,,5.30,2020,9,Blitzkoerper85,119.10,seb44,116.78
FLX,C. Godwin,vs NO,L 3-38,,5.60,2020,9,Blitzkoerper85,119.10,seb44,116.78
FLX,M. Jones,vs HOU,L 25-27,,11.80,2020,9,Blitzkoerper85,119.10,seb44,116.78
K,K. Fairbairn,@ JAX,L 27-25,,11.00,2020,9,Blitzkoerper85,119.10,seb44,116.78
DEF,K. Chiefs,vs CAR,W 33-31,,2.00,2020,9,Blitzkoerper85,119.10,seb44,116.78
BN,D. Harris,@ NYJ,L 30-27,,7.10,2020,9,Blitzkoerper85,119.10,seb44,116.78
BN,T. Pollard,vs PIT,L 19-24,,6.30,2020,9,Blitzkoerper85,119.10,seb44,116.78
BN,M. Gaskin,@ ARI,L 34-31,,0.00,2020,9,Blitzkoerper85,119.10,seb44,116.78
BN,M. Sanders,,BYE,,0.00,2020,9,Blitzkoerper85,119.10,seb44,116.78
BN,K. Golladay,@ WAS,L 23-20,,0.00,2020,9,Blitzkoerper85,119.10,seb44,116.78
BN,R. Bullock,@ MIN,W 20-34,,0.00,2020,9,Blitzkoerper85,119.10,seb44,116.78
QB,D. Brees,,BYE,,21.68,2020,9,seb44,116.78,Blitzkoerper85,119.10
RB,D. Henry,vs CHI,W 24-17,,6.80,2020,9,seb44,116.78,Blitzkoerper85,119.10
RB,D. Johnson,@ JAX,L 27-25,,1.60,2020,9,seb44,116.78,Blitzkoerper85,119.10
WR,J. Jones,vs CHI,W 24-17,,13.90,2020,9,seb44,116.78,Blitzkoerper85,119.10
WR,A. Cooper,vs PIT,L 19-24,,10.00,2020,9,seb44,116.78,Blitzkoerper85,119.10
TE,H. Hurst,vs DEN,W 34-27,,9.70,2020,9,seb44,116.78,Blitzkoerper85,119.10
FLX,A. Brown,vs CHI,W 24-17,,18.10,2020,9,seb44,116.78,Blitzkoerper85,119.10
FLX,H. Renfrow,@ LAC,L 31-26,,7.00,2020,9,seb44,116.78,Blitzkoerper85,119.10
K,Y. Koo,vs DEN,W 34-27,,12.00,2020,9,seb44,116.78,Blitzkoerper85,119.10
DEF,N. Saints,@ TB,L 38-3,,16.00,2020,9,seb44,116.78,Blitzkoerper85,119.10
BN,R. Tannehill,vs CHI,W 24-17,,14.62,2020,9,seb44,116.78,Blitzkoerper85,119.10
BN,F. Gore,,BYE,,6.90,2020,9,seb44,116.78,Blitzkoerper85,119.10
BN,R. Mostert,vs GB,L 17-34,,0.00,2020,9,seb44,116.78,Blitzkoerper85,119.10
BN,G. Edwards,@ IND,L 24-10,,7.40,2020,9,seb44,116.78,Blitzkoerper85,119.10
BN,M. Gallup,vs PIT,L 19-24,,5.10,2020,9,seb44,116.78,Blitzkoerper85,119.10
BN,L. Thomas,vs NYG,L 20-23,,4.30,2020,9,seb44,116.78,Blitzkoerper85,119.10
QB,A. Rodgers,@ SF,L 34-17,,28.90,2020,9,StumpfistTrumpf,116.90,MKx,93.10
RB,M. Gordon,@ ATL,W 27-34,,3.20,2020,9,StumpfistTrumpf,116.90,MKx,93.10
RB,L. Fournette,vs NO,L 3-38,,7.10,2020,9,StumpfistTrumpf,116.90,MKx,93.10
WR,M. Brown,@ IND,L 24-10,,5.30,2020,9,StumpfistTrumpf,116.90,MKx,93.10
WR,D. Adams,@ SF,L 34-17,,28.30,2020,9,StumpfistTrumpf,116.90,MKx,93.10
TE,D. Waller,@ LAC,L 31-26,,10.70,2020,9,StumpfistTrumpf,116.90,MKx,93.10
FLX,T. McLaurin,vs NYG,L 20-23,,21.00,2020,9,StumpfistTrumpf,116.90,MKx,93.10
FLX,C. Beasley,vs SEA,W 44-34,,5.40,2020,9,StumpfistTrumpf,116.90,MKx,93.10
K,J. Tucker,@ IND,L 24-10,,7.00,2020,9,StumpfistTrumpf,116.90,MKx,93.10
DEF,T. Buccaneers,vs NO,L 3-38,,0.00,2020,9,StumpfistTrumpf,116.90,MKx,93.10
BN,J. Mixon,,BYE,,0.00,2020,9,StumpfistTrumpf,116.90,MKx,93.10
BN,B. Scott,,BYE,,0.00,2020,9,StumpfistTrumpf,116.90,MKx,93.10
BN,P. Lindsay,@ JAX,L 27-25,,2.30,2020,9,StumpfistTrumpf,116.90,MKx,93.10
BN,J. Taylor,vs BAL,L 10-24,,7.40,2020,9,StumpfistTrumpf,116.90,MKx,93.10
BN,C. Kirk,vs MIA,L 31-34,,20.80,2020,9,StumpfistTrumpf,116.90,MKx,93.10
BN,A. Brown,vs NO,L 3-38,,4.60,2020,9,StumpfistTrumpf,116.90,MKx,93.10
QB,J. Herbert,vs LV,L 26-31,,22.44,2020,9,Speasy,173.14,MarkusEXperte,167.48
RB,C. McCaffrey,@ KC,W 31-33,,32.10,2020,9,Speasy,173.14,MarkusEXperte,167.48
RB,J. Conner,vs MIA,L 31-34,,3.00,2020,9,Speasy,173.14,MarkusEXperte,167.48
WR,K. Allen,vs LV,L 26-31,,20.80,2020,9,Speasy,173.14,MarkusEXperte,167.48
WR,A. Robinson,@ TEN,W 17-24,,11.60,2020,9,Speasy,173.14,MarkusEXperte,167.48
TE,T. Kelce,vs CAR,W 33-31,,20.90,2020,9,Speasy,173.14,MarkusEXperte,167.48
FLX,J. Jeudy,@ ATL,W 27-34,,21.00,2020,9,Speasy,173.14,MarkusEXperte,167.48
FLX,J. Smith-Schuster,@ DAL,L 24-19,,18.30,2020,9,Speasy,173.14,MarkusEXperte,167.48
K,M. Prater,vs MIA,L 31-34,,8.00,2020,9,Speasy,173.14,MarkusEXperte,167.48
DEF,B. Ravens,@ IND,L 24-10,,15.00,2020,9,Speasy,173.14,MarkusEXperte,167.48
BN,M. Ryan,vs DEN,W 34-27,,22.36,2020,9,Speasy,173.14,MarkusEXperte,167.48
BN,M. Davis,vs DEN,W 34-27,,6.20,2020,9,Speasy,173.14,MarkusEXperte,167.48
BN,D. Singletary,vs SEA,W 44-34,,4.90,2020,9,Speasy,173.14,MarkusEXperte,167.48
BN,J. Landry,,BYE,,0.00,2020,9,Speasy,173.14,MarkusEXperte,167.48
BN,D. Slayton,@ WAS,L 23-20,,1.30,2020,9,Speasy,173.14,MarkusEXperte,167.48
BN,N. Fant,@ ATL,W 27-34,,6.00,2020,9,Speasy,173.14,MarkusEXperte,167.48
QB,T. Brady,vs NO,L 3-38,,2.36,2020,9,AllTimeReadyPat,76.46,TheRealBauer,131.82
RB,T. Gurley,,BYE,,12.50,2020,9,AllTimeReadyPat,76.46,TheRealBauer,131.82
RB,A. Jones,@ SF,L 34-17,,10.40,2020,9,AllTimeReadyPat,76.46,TheRealBauer,131.82
WR,S. Shepard,@ WAS,L 23-20,,8.70,2020,9,AllTimeReadyPat,76.46,TheRealBauer,131.82
WR,D. Johnson,@ DAL,L 24-19,,11.10,2020,9,AllTimeReadyPat,76.46,TheRealBauer,131.82
TE,R. Gronkowski,vs NO,L 3-38,,0.70,2020,9,AllTimeReadyPat,76.46,TheRealBauer,131.82
FLX,B. Cooks,@ JAX,L 27-25,,15.80,2020,9,AllTimeReadyPat,76.46,TheRealBauer,131.82
FLX,J. Howard,,BYE,,7.90,2020,9,AllTimeReadyPat,76.46,TheRealBauer,131.82
K,R. Succop,vs NO,L 3-38,,4.00,2020,9,AllTimeReadyPat,76.46,TheRealBauer,131.82
DEF,N. Patriots,@ NYJ,L 30-27,,3.00,2020,9,AllTimeReadyPat,76.46,TheRealBauer,131.82
BN,J. White,@ NYJ,L 30-27,,3.40,2020,9,AllTimeReadyPat,76.46,TheRealBauer,131.82
BN,W. Gallman,vs GB,L 17-34,,14.20,2020,9,AllTimeReadyPat,76.46,TheRealBauer,131.82
BN,C. Ridley,vs DEN,W 34-27,,0.00,2020,9,AllTimeReadyPat,76.46,TheRealBauer,131.82
BN,D. Bryant,,BYE,,0.00,2020,9,AllTimeReadyPat,76.46,TheRealBauer,131.82
BN,S. Miller,vs NO,L 3-38,,1.50,2020,9,AllTimeReadyPat,76.46,TheRealBauer,131.82
BN,T. Higgins,,BYE,,0.00,2020,9,AllTimeReadyPat,76.46,TheRealBauer,131.82
QB,K. Murray,vs BUF,W 32-30,,29.90,2020,10,TheRealBauer,129.90,StumpfistTrumpf,84.60
RB,K. Hunt,vs HOU,W 10-7,,14.70,2020,10,TheRealBauer,129.90,StumpfistTrumpf,84.60
RB,A. Gibson,@ DET,W 27-30,,20.50,2020,10,TheRealBauer,129.90,StumpfistTrumpf,84.60
WR,R. Woods,vs SEA,W 23-16,,6.10,2020,10,TheRealBauer,129.90,StumpfistTrumpf,84.60
WR,D. Chark,@ GB,W 20-24,,7.60,2020,10,TheRealBauer,129.90,StumpfistTrumpf,84.60
TE,A. Hooper,vs HOU,W 10-7,,1.60,2020,10,TheRealBauer,129.90,StumpfistTrumpf,84.60
FLX,C. Edmonds,vs BUF,W 32-30,,9.20,2020,10,TheRealBauer,129.90,StumpfistTrumpf,84.60
FLX,C. Claypool,vs CIN,W 36-10,,19.30,2020,10,TheRealBauer,129.90,StumpfistTrumpf,84.60
K,J. Myers,@ LAR,W 16-23,,12.00,2020,10,TheRealBauer,129.90,StumpfistTrumpf,84.60
DEF,M. Vikings,@ CHI,L 19-13,,9.00,2020,10,TheRealBauer,129.90,StumpfistTrumpf,84.60
BN,A. Ekeler,@ MIA,W 21-29,,0.00,2020,10,TheRealBauer,129.90,StumpfistTrumpf,84.60
BN,C. Edwards-Helaire,,BYE,,0.00,2020,10,TheRealBauer,129.90,StumpfistTrumpf,84.60
BN,D. Parker,vs LAC,W 29-21,,4.10,2020,10,TheRealBauer,129.90,StumpfistTrumpf,84.60
BN,J. Crowder,,BYE,,0.00,2020,10,TheRealBauer,129.90,StumpfistTrumpf,84.60
BN,J. Reagor,@ NYG,W 17-27,,6.70,2020,10,TheRealBauer,129.90,StumpfistTrumpf,84.60
BN,C. Browns,vs HOU,W 10-7,,6.00,2020,10,TheRealBauer,129.90,StumpfistTrumpf,84.60
QB,L. Jackson,@ NE,W 17-23,,21.46,2020,10,Hubner,132.16,seb44,67.04
RB,A. Kamara,vs SF,W 27-13,,31.30,2020,10,Hubner,132.16,seb44,67.04
RB,J. Robinson,@ GB,W 20-24,,12.20,2020,10,Hubner,132.16,seb44,67.04
WR,T. Boyd,@ PIT,W 10-36,,7.10,2020,10,Hubner,132.16,seb44,67.04
WR,C. Kupp,vs SEA,W 23-16,,7.50,2020,10,Hubner,132.16,seb44,67.04
TE,D. Goedert,@ NYG,W 17-27,,5.30,2020,10,Hubner,132.16,seb44,67.04
FLX,D. Henderson,vs SEA,W 23-16,,9.80,2020,10,Hubner,132.16,seb44,67.04
FLX,J. Jefferson,@ CHI,L 19-13,,17.50,2020,10,Hubner,132.16,seb44,67.04
K,C. Boswell,vs CIN,W 36-10,,14.00,2020,10,Hubner,132.16,seb44,67.04
DEF,G. Packers,vs JAX,W 24-20,,6.00,2020,10,Hubner,132.16,seb44,67.04
BN,L. Murray,vs SF,W 27-13,,5.70,2020,10,Hubner,132.16,seb44,67.04
BN,J. McKinnon,,BYE,,5.10,2020,10,Hubner,132.16,seb44,67.04
BN,K. Drake,vs DEN,W 37-12,,8.40,2020,10,Hubner,132.16,seb44,67.04
BN,R. Jones,@ CAR,L 46-23,,23.30,2020,10,Hubner,132.16,seb44,67.04
BN,D. Moore,vs TB,L 23-46,,17.60,2020,10,Hubner,132.16,seb44,67.04
BN,R. Gage,,BYE,,0.00,2020,10,Hubner,132.16,seb44,67.04
QB,J. Goff,vs WAS,W 30-27,,9.48,2020,10,MarkusEXperte,77.48,Blitzkoerper85,142.16
RB,D. Cook,@ CHI,L 19-13,,12.20,2020,10,MarkusEXperte,77.48,Blitzkoerper85,142.16
RB,D. Swift,vs WAS,W 30-27,,23.40,2020,10,MarkusEXperte,77.48,Blitzkoerper85,142.16
WR,W. Fuller,vs LAC,W 29-21,,6.30,2020,10,MarkusEXperte,77.48,Blitzkoerper85,142.16
WR,D. Metcalf,@ LAR,W 16-23,,3.80,2020,10,MarkusEXperte,77.48,Blitzkoerper85,142.16
TE,T. Hockenson,vs WAS,W 30-27,,2.30,2020,10,MarkusEXperte,77.48,Blitzkoerper85,142.16
FLX,C. Samuel,@ DET,W 27-30,,2.70,2020,10,MarkusEXperte,77.48,Blitzkoerper85,142.16
FLX,T. Fulgham,@ NYG,W 17-27,,1.30,2020,10,MarkusEXperte,77.48,Blitzkoerper85,142.16
K,D. Carlson,vs DEN,W 37-12,,13.00,2020,10,MarkusEXperte,77.48,Blitzkoerper85,142.16
DEF,P. Eagles,@ NYG,W 17-27,,3.00,2020,10,MarkusEXperte,77.48,Blitzkoerper85,142.16
BN,P. Mahomes,,BYE,,0.00,2020,10,MarkusEXperte,77.48,Blitzkoerper85,142.16
BN,D. Montgomery,vs MIN,L 13-19,,0.00,2020,10,MarkusEXperte,77.48,Blitzkoerper85,142.16
BN,T. Hill,,BYE,,0.00,2020,10,MarkusEXperte,77.48,Blitzkoerper85,142.16
BN,T. Patrick,@ LV,W 12-37,,8.10,2020,10,MarkusEXperte,77.48,Blitzkoerper85,142.16
